番号,Ap. 語形,Ap. アクセント,意味,脚韻開始一致率,内訳,全体,逸脱,Ved. のアクセント,,
263,uvaāra-,uvaā́ra-,利益,100.000%,2,2,0,upakāra-,,
264,uvaāria-,uvaā́ria-,助けるような,100.000%,2,2,0,upakārin-,,
265,uvamijja-,uvamíjja-,比較する,75.000%,3,4,1,,,
266,uvalakkhia-,uvalákkhia-,印づけられた,100.000%,3,3,0,upalakṣita-,,
267,uvaladdha-,uvaladdhá-,得られた,100.000%,3,3,0,upalabdha-,,
268,uvavaṇa-,uvaváṇa-,遊園,100.000%,6,6,0,upavana-,,
269,uvasaṅghara-,uvasaṅghára-,まとめる,100.000%,2,2,0,upasaṃhara-,,
270,uvasamia-,uvasamía-,鎮められた,66.667%,2,3,0,,,
271,uvahiraa-,uvahiráa-,ウダディラヴァ,100.000%,2,2,0,,,
272,uvahi-,uváhi-,大海,100.000%,3,3,0,upadhí-,,
273,uvvaaṇa-,uvváaṇa-,顔を上にして,100.000%,2,2,0,*udvadana-,,
274,uvvara-,uvvára-,逃れる,100.000%,2,2,0,,,
275,uvvahanta-,uvvahánta-,上げている,100.000%,2,2,0,udvahant-,,
276,uvvaha-,uvváha- / uvvahá-,上げる,50.000%,1,2,,udvaha-,,
277,ūṇa-,ū́ṇa-,少ない,100.000%,2,2,0,ūná-,,
278,ūsāsa-,ūsā́sa-,ため息,100.000%,3,3,0,ucchvāsá-,,
279,eahu,éahu,この者の,100.000%,2,2,0,,,
280,ea,éa,これ,100.000%,3,3,0,,,
281,ekāntara-,ekkantára-,一つ足りない,100.000%,2,2,0,ekāntara-,,
282,ekkanta-,ekkánta- / ekkantá-,一角,50.000%,1,2,,ekānta-,,
283,ekkamekka-,ekkamekká-,一つずつ,100.000%,2,2,0,,,
284,ekkalla-,ekkallá-,一人きりの,75.000%,3,4,0,,,
285,ekka-,ékka- / ekká-,一つ,50.000%,4,8,,éka-,,
286,ekkāsaṇa-,ekkāsáṇa-,一つの座,100.000%,2,2,0,,,
287,ekkoara-,ekkóara- / ekkoára-,同母兄弟,50.000%,1,2,,,,
288,eṇa,éṇa,これによって,100.000%,4,4,0,,,
289,ettaḍaa-,éttaḍaa- / ettaḍáa-,そのような,50.000%,1,2,,etavant-,,
290,ettantara-,etthántara-,この中で,100.000%,4,4,0,,,
291,etthu,étthu,ここで,100.000%,6,6,0,átra,,
292,enta-,énta- / entá-,行きつつある,50.000%,4,8,,yánt-,,
293,ema,éma,そのように,56.250%,9,16,7,evám,,
294,eva,éva,このように,85.714%,12,14,2,evám,,
295,evi,évi,来てから,100.000%,2,2,0,,,
296,ehu,éhu,これ,87.500%,7,8,1,,,
297,ehau,éhau,これ,100.000%,3,3,0,eṣá,,
298,e-,é-,来る,100.000%,4,4,0,ai-,,
299,omucchia-,omúcchia-,口髭を得た,100.000%,2,2,0,,,
300,orālia-,orā́lia-,轟音を立てた,100.000%,3,3,0,,,
301,orālivi,orā́livi,轟音を立てて,100.000%,2,2,0,,,
302,olagga-,olágga-,取り付く,100.000%,8,8,0,,,
303,olaggia-,olággia-,取り付けられた,66.667%,2,3,0,avalagita-,,
304,ovaḍa-,ovaḍá-,飛び降りる,100.000%,2,2,0,avapata-,,
305,ovaḍia-,ovaḍía-,落ちてしまった,75.000%,3,4,0,avapatita-,,
306,osara-,osára-,遠ざかる,100.000%,3,3,0,,,
307,osarivi,osárivi,遠ざかって,100.000%,4,4,0,,,
308,osāraṇa-,osā́raṇa-,遠ざけること,100.000%,3,3,0,avasāraṇa-,,
